rank,symbol,base_asset,quote_asset,status,quote_volume_24h,trade_count_24h
1,BTCUSDT,BTC,USDT,TRADING,502322737.9823349,1621756
2,ETHUSDT,ETH,USDT,TRADING,220928097.098987,1550548
3,SOLUSDT,SOL,USDT,TRADING,163797280.10861,691807
4,USD1USDT,USD1,USDT,TRADING,110118814.28146,109990
5,REUSDT,RE,USDT,TRADING,90064419.74162,1164684
6,TAOUSDT,TAO,USDT,TRADING,69708232.17165,506852
7,WLDUSDT,WLD,USDT,TRADING,66703943.36645,757071
8,ZECUSDT,ZEC,USDT,TRADING,63274463.96287,220392
9,XRPUSDT,XRP,USDT,TRADING,51796446.31264,281836
10,BNBUSDT,BNB,USDT,TRADING,35778641.31769,372349
11,NEARUSDT,NEAR,USDT,TRADING,31710778.5496,217644
12,TNSRUSDT,TNSR,USDT,TRADING,28956220.76873,221771
13,RESOLVUSDT,RESOLV,USDT,TRADING,25294412.05286,118776
14,BICOUSDT,BICO,USDT,TRADING,22862616.976065,214152
15,XPLUSDT,XPL,USDT,TRADING,21143670.46206,321318
16,SUIUSDT,SUI,USDT,TRADING,18557127.46287,131502
17,TRXUSDT,TRX,USDT,TRADING,18211453.48613,46987
18,TRUMPUSDT,TRUMP,USDT,TRADING,16146347.174602,157866
19,MEGAUSDT,MEGA,USDT,TRADING,15865237.290737,462859
20,ENAUSDT,ENA,USDT,TRADING,15760416.300031,70790
21,AVAXUSDT,AVAX,USDT,TRADING,15033730.2287,182163
22,DOGEUSDT,DOGE,USDT,TRADING,14952758.60411,184032
23,SAGAUSDT,SAGA,USDT,TRADING,14923846.466214,168506
24,ALICEUSDT,ALICE,USDT,TRADING,12718947.762773,114930
25,UUSDT,U,USDT,TRADING,12325158.5365,15582
26,XLMUSDT,XLM,USDT,TRADING,12285384.7617,73646
27,SYNUSDT,SYN,USDT,TRADING,12223196.31906,135200
28,FETUSDT,FET,USDT,TRADING,11914919.65281,61601
29,ADAUSDT,ADA,USDT,TRADING,11696590.7146,50030
30,EIGENUSDT,EIGEN,USDT,TRADING,11265531.428992,176110
31,STOUSDT,STO,USDT,TRADING,10669557.93085,90328
32,STRAXUSDT,STRAX,USDT,TRADING,10216216.68977,109686
33,TONUSDT,TON,USDT,TRADING,10104078.03055,78961
34,PUMPUSDT,PUMP,USDT,TRADING,9815794.155695,79330
35,AXSUSDT,AXS,USDT,TRADING,9502844.93116,58887
36,LTCUSDT,LTC,USDT,TRADING,9457748.82872,115166
37,UNIUSDT,UNI,USDT,TRADING,9249368.96007,63346
38,IDUSDT,ID,USDT,TRADING,7718376.4473,35478
39,ACEUSDT,ACE,USDT,TRADING,7694730.19296,107223
40,ONDOUSDT,ONDO,USDT,TRADING,7660320.19403,58942
41,AAVEUSDT,AAVE,USDT,TRADING,7315360.12672,80638
42,ALLOUSDT,ALLO,USDT,TRADING,7300108.15907,88395
43,METUSDT,MET,USDT,TRADING,7169948.4146,107978
44,PEPEUSDT,PEPE,USDT,TRADING,6893540.39934297,24081
45,CHIPUSDT,CHIP,USDT,TRADING,6811434.40443,58911
46,DYMUSDT,DYM,USDT,TRADING,6543217.76393,42099
47,WUSDT,W,USDT,TRADING,6320241.521903,37128
48,ASTERUSDT,ASTER,USDT,TRADING,6226008.00775,25879
49,LINKUSDT,LINK,USDT,TRADING,6197903.38296,58922
50,HOMEUSDT,HOME,USDT,TRADING,6123229.72519,56004
51,JTOUSDT,JTO,USDT,TRADING,5938741.01883,168062
52,BELUSDT,BEL,USDT,TRADING,5933642.07399,106276
53,2ZUSDT,2Z,USDT,TRADING,5362980.1048,170652
54,FILUSDT,FIL,USDT,TRADING,5172391.17251,21278
55,IOUSDT,IO,USDT,TRADING,5126482.654226,67885
56,MMTUSDT,MMT,USDT,TRADING,5106475.45711,53253
57,HMSTRUSDT,HMSTR,USDT,TRADING,4490825.2200624,100724
58,XAUTUSDT,XAUT,USDT,TRADING,4474999.078155,18697
59,RLUSDUSDT,RLUSD,USDT,TRADING,4418930.8649,2394
60,INJUSDT,INJ,USDT,TRADING,4367154.33069,59719
61,PENDLEUSDT,PENDLE,USDT,TRADING,4254685.9943,42590
62,SANDUSDT,SAND,USDT,TRADING,4225828.66434,86354
63,ZROUSDT,ZRO,USDT,TRADING,4102755.52366,42036
64,BFUSDUSDT,BFUSD,USDT,TRADING,4044032.0497,1800
65,PENGUUSDT,PENGU,USDT,TRADING,3672025.083873,52670
66,OPGUSDT,OPG,USDT,TRADING,3550104.66835,35643
67,ICPUSDT,ICP,USDT,TRADING,3370750.69738,22797
68,HBARUSDT,HBAR,USDT,TRADING,3269652.16322,32610
69,RENDERUSDT,RENDER,USDT,TRADING,3143325.40974,24068
70,币安人生USDT,币安人生,USDT,TRADING,3129804.31784,35190
71,APTUSDT,APT,USDT,TRADING,3092143.43171,15115
72,EPICUSDT,EPIC,USDT,TRADING,3080655.285,47309
73,BIOUSDT,BIO,USDT,TRADING,3007755.585118,48385
74,PAXGUSDT,PAXG,USDT,TRADING,2974575.619861,10551
75,DOTUSDT,DOT,USDT,TRADING,2915401.01111,15128
76,SUPERUSDT,SUPER,USDT,TRADING,2900867.9129,24041
77,SEIUSDT,SEI,USDT,TRADING,2827278.934846,58710
78,SPCXBUSDT,SPCXB,USDT,TRADING,2821591.49491,17749
79,ORDIUSDT,ORDI,USDT,TRADING,2806663.3377,35044
80,XAIUSDT,XAI,USDT,TRADING,2784856.389314,31484
81,WLFIUSDT,WLFI,USDT,TRADING,2776001.10352,20322
82,DASHUSDT,DASH,USDT,TRADING,2765715.9213,19675
83,KAVAUSDT,KAVA,USDT,TRADING,2616736.332672,70233
84,SPKUSDT,SPK,USDT,TRADING,2513386.758852,111423
85,JSTUSDT,JST,USDT,TRADING,2509581.71293,17659
86,CHZUSDT,CHZ,USDT,TRADING,2492812.04474,20610
87,BCHUSDT,BCH,USDT,TRADING,2426250.4866,22702
88,PYRUSDT,PYR,USDT,TRADING,2410089.927496,13103
89,TIAUSDT,TIA,USDT,TRADING,2364888.487965,54279
90,BROCCOLI714USDT,BROCCOLI714,USDT,TRADING,2349777.56071,19822
91,NEIROUSDT,NEIRO,USDT,TRADING,2307202.01917279,104945
92,OPNUSDT,OPN,USDT,TRADING,2301821.6323,29249
93,EDUUSDT,EDU,USDT,TRADING,2261999.7322,22711
94,NIGHTUSDT,NIGHT,USDT,TRADING,2149522.48398,34604
95,HEIUSDT,HEI,USDT,TRADING,2038011.74346,39426
96,XUSDUSDT,XUSD,USDT,TRADING,2028882.2523,485
97,RAREUSDT,RARE,USDT,TRADING,1987078.24576,10685
98,GENIUSUSDT,GENIUS,USDT,TRADING,1963857.37321,36433
99,EDENUSDT,EDEN,USDT,TRADING,1943748.44665,18057
100,POLUSDT,POL,USDT,TRADING,1895805.913401,40100
101,ARBUSDT,ARB,USDT,TRADING,1883389.65521,13333
102,MANTRAUSDT,MANTRA,USDT,TRADING,1879121.0875,21877
103,SUSDT,S,USDT,TRADING,1843673.17597,30375
104,BANANAS31USDT,BANANAS31,USDT,TRADING,1806618.605366,85852
105,MANAUSDT,MANA,USDT,TRADING,1795506.1179,13054
106,DEXEUSDT,DEXE,USDT,TRADING,1762405.74654,64534
107,ZAMAUSDT,ZAMA,USDT,TRADING,1740219.08443,22369
108,TSLABUSDT,TSLAB,USDT,TRADING,1638614.54697,82712
109,ENSOUSDT,ENSO,USDT,TRADING,1607325.80286,12134
110,HOLOUSDT,HOLO,USDT,TRADING,1591211.8655,19099
111,KATUSDT,KAT,USDT,TRADING,1565603.545,14789
112,FORMUSDT,FORM,USDT,TRADING,1557951.84398,24212
113,RIFUSDT,RIF,USDT,TRADING,1530785.2112,17818
114,STGUSDT,STG,USDT,TRADING,1528583.69983,13492
115,GALAUSDT,GALA,USDT,TRADING,1485279.70491,9388
116,BERAUSDT,BERA,USDT,TRADING,1485072.192556,7765
117,PORTALUSDT,PORTAL,USDT,TRADING,1479164.5316,20557
118,SAHARAUSDT,SAHARA,USDT,TRADING,1465091.19825,10205
119,LUNCUSDT,LUNC,USDT,TRADING,1440222.03076962,27760
120,PYTHUSDT,PYTH,USDT,TRADING,1420924.03973,11690
